Part,Quantity,Price,Website
DLPDLCR471TPEVM,1,$999,https://www.ti.com/tool/DLPDLCR471TPEVM
SM1A3,1,$19.82,https://www.thorlabs.com/thorproduct.cfm?partnumber=SM1A3
SM1V10,1,$36.24,https://www.thorlabs.com/thorproduct.cfm?partnumber=SM1V10
SM1L10,2,$30.82,https://www.thorlabs.com/thorproduct.cfm?partnumber=SM1L10
SM1RC/M,2,$55.12,https://www.thorlabs.com/thorproduct.cfm?partnumber=SM1RC/M
SM1A9,1,$21.38,https://www.thorlabs.com/thorproduct.cfm?partnumber=SM1A9
SM1L05,2,$27.24,https://www.thorlabs.com/thorproduct.cfm?partnumber=SM1L05
CM1-DCH/M,1,$192.44,https://www.thorlabs.com/thorproduct.cfm?partnumber=CM1-DCH/M
SM1CPL05,1,$39.20,https://www.thorlabs.com/thorproduct.cfm?partnumber=SM1CPL05
SM1L03,3,$39.45,https://www.thorlabs.com/thorproduct.cfm?partnumber=SM1L03
SM1V05,1,$32.72,https://www.thorlabs.com/thorproduct.cfm?partnumber=SM1V05
SM1A53,1,$33.72,https://www.thorlabs.com/thorproduct.cfm?partnumber=SM1A53
SM1CPL10,1,$40.39,https://www.thorlabs.com/thorproduct.cfm?partnumber=SM1CPL10
BSN10R,1,$147.30,https://www.thorlabs.com/thorproduct.cfm?partnumber=BSN10R
SM1CP2,1,$20.68,https://www.thorlabs.com/thorproduct.cfm?partnumber=SM1CP2
10X DIN Plan Commercial Grade Objective,1,$159,https://www.edmundoptics.com/p/10x-din-plan-commercial-grade-objective/5386/
BFS-U3-200S6C-C USB 3.1 Blackfly,1,$700,https://www.edmundoptics.com/p/bfs-u3-200s6c-c-usb3-blackflyreg-s-color-camera/40178/
"Type-A to Micro-B, USB 3.1 Locking Cable",1,$25,https://www.edmundoptics.com/p/usb-30-locking-cable-3m-length/29172/
Nobsound DC 19V 4.74A 90W Power Supply,1,$17.99,https://www.amazon.com/Nobsound-Adapter-Universal-Charger-100-240V/dp/B074J81XRB?keywords=19v+power+supply&qid=1685981984&sr=8-9
XYZ Axis Manual Precision Linear Stage,1,$125,https://www.amazon.com/Pricision-40x40mm-Trimming-Bearing-Platform/dp/B07D7N9GT6?crid=32WSW494CE1YE&keywords=30mm+xyz+stage&qid=1706559232&sprefix=30mm+xyz+stage%2Caps%2C80&sr=8-4&ufe=app_do%3Aamzn1.fos.f5122f16-c3e8-4386-bf32-63e904010ad0
R Axes Rotating Linear Stage,1,$64.30,https://www.amazon.com/Displacement-Platform-FineTuning-Production-Machinery/dp/B0972XB4NW?crid=2M0YGWAA27LQA&keywords=60mm+rotation+stage&qid=1706559352&sprefix=60mm+rotation+stage%2Caps%2C112&sr=8-3
Iverntech Nema 11 Stepper Motor 28mm,4,$71.96,https://www.amazon.com/gp/product/B07PNV7RBW/ref=ox_sc_act_title_1?smid=A3HCJ70Z0RHBT6&th=1
ELEGOO UNO R3 Board,1,$14.99,https://www.amazon.com/ELEGOO-Board-ATmega328P-ATMEGA16U2-Compliant/dp/B01EWOE0UU?crid=25HW74RSV1WUQ&keywords=arduino&qid=1706561234&sprefix=arduino%2Caps%2C115&sr=8-6
3D Printer CNC Shield V3 Engraver Expansion Board,1,$9.99,https://www.amazon.com/Organizer-Expansion-Stepper-Heatsink-Arduino/dp/B07TT3C3HB?crid=3U63T1GH2IYGH&keywords=arduino+stepper+shield&qid=1706561169&sprefix=arduino+stepper+shield%2Caps%2C104&sr=8-1
BIGTREETECH TMC2209 V1.3 Stepper Motor Driver,1,$22.99,https://www.amazon.com/BIGTREETECH-Direct-TMC2208-TMC2209-TMC5160/dp/B07ZPYKL46?th=1
Flexible Shaft Inner Core,1,$6.79,https://www.amazon.com/uxcell-Flexible-Attachment-Grinder-Extension/dp/B07PLCKQMQ?crid=3BUQUGXE0CYTJ&keywords=Flexible+Shaft+Inner+Core&qid=1699635781&sprefix=flexible+shaft+inner+core%2Caps%2C176&sr=8-2
ALITOVE DC 12V 5A Power Supply Adapter Converter Transformer,2,$23.98,https://www.amazon.com/ALITOVE-Adapter-Converter-100-240V-5-5x2-1mm/dp/B01GEA8PQA?keywords=12v+power+supply&qid=1706561572&sr=8-4
Fancasee (2 Pack) Replacement 5.5mm x 2.5mm 90 Degree Right Angle,1,$7.99,https://www.amazon.com/Fancasee-Replacement-Degree-Pigtail-Supply/dp/B081TXY6ML?crid=1LPRM16V3EL0T&keywords=2.5mm+dc+plug+pigtail&qid=1706561706&sprefix=2.5mm+dc+plug+pigtail%2Caps%2C94&sr=8-3
Vacuum Pump 12V,1,$27.99,https://www.amazon.com/Vacuum-Pump-Diaphragm-Compressor-Silicone/dp/B071GL3XXQ/144-6072015-7453507?pd_rd_w=PBVUD&content-id=amzn1.sym.740603ef-5416-4c6c-8609-ceb99d2a0eaf&pf_rd_p=740603ef-5416-4c6c-8609-ceb99d2a0eaf&pf_rd_r=9VDFX53S60MBXC13MG3J&pd_rd_wg=Nw0MD&pd_rd_r=886a99a9-24db-410f-b398-69cd16cf50f2&pd_rd_i=B071GL3XXQ&psc=1
VIGRUE 840pcs M2.5 A2-70 Stainless Steel Hex Button Head,1,$30.20,https://www.amazon.com/VIGRUE-Button-Washers-Assortment-Storage/dp/B08RRY72VG?crid=24MVS2UJSXWC&keywords=m2.5&qid=1695828225&sprefix=m2.5%2Caps%2C112&sr=8-3&th=1
L1F3-U400200012000,4,$36.36,https://www.digikey.com/en/products/detail/lumileds/L1F3-U400200012000/7389568
874371043,2,$1.42,https://www.digikey.com/en/products/detail/molex/0874371043/717647
ER6-P4 - Cage Assembly Rod,4,$35.55,https://www.thorlabs.com/thorproduct.cfm?partnumber=ER6-P4
V-Slot Aluminum Extrusion,1,$47.99,https://vxb.com/products/1000mm-black-v-slot-aluminum-extrusion-profile-linear-motion-guideway-with-5x24x10mm-track-v-slot-profile-bearing?variant=43583048220907&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gPromoCode=GOOGLE5P&gQT=3